"X","fit"
86,9.51461132103759e-14
87,6.47260023356466e-14
88,4.41868763800812e-14
89,3.00870439673417e-14
90,2.04281036531029e-14
91,1.38777878078145e-14
92,9.54791801177635e-15
93,6.43929354282591e-15
94,4.32986979603811e-15
95,2.99760216648792e-15
96,1.99840144432528e-15
97,1.4432899320127e-15
98,8.88178419700125e-16
99,6.66133814775094e-16
100,4.44089209850063e-16
101,2.96059473233375e-16
102,1.97372982155584e-16
103,1.31581988103722e-16
104,8.77213254024816e-17
105,5.84808836016544e-17
106,3.89872557344362e-17
107,2.59915038229575e-17
108,1.7327669215305e-17
109,1.155177947687e-17
110,7.70118631791333e-18
111,5.13412421194222e-18
112,3.42274947462815e-18
113,2.28183298308543e-18
114,1.52122198872362e-18
115,1.01414799248241e-18
116,6.76098661654942e-19
117,4.50732441103295e-19
118,3.00488294068863e-19
119,2.00325529379242e-19
120,1.33550352919495e-19
121,8.90335686129965e-20
122,5.93557124086643e-20
123,3.95704749391096e-20
124,2.6380316626073e-20
125,1.75868777507154e-20
126,1.17245851671436e-20
127,7.81639011142905e-21
128,5.2109267409527e-21
129,3.47395116063513e-21
130,2.31596744042342e-21
131,1.54397829361561e-21
132,1.02931886241041e-21
133,6.86212574940273e-22
134,4.57475049960182e-22
135,3.04983366640121e-22
136,2.03322244426747e-22
137,1.35548162951165e-22
138,9.03654419674433e-23
139,6.02436279782955e-23
140,4.0162418652197e-23
141,2.67749457681313e-23
142,1.78499638454209e-23
143,1.18999758969473e-23
144,7.93331726463151e-24
145,5.28887817642101e-24
146,3.52591878428067e-24
147,2.35061252285378e-24
148,1.56707501523585e-24
149,1.0447166768239e-24
150,6.96477784549268e-25
151,4.64318523032845e-25
152,3.09545682021897e-25
153,2.06363788014598e-25
154,1.37575858676399e-25
155,9.17172391175991e-26
156,6.11448260783994e-26
157,4.07632173855996e-26
158,2.71754782570664e-26
159,1.81169855047109e-26
160,1.20779903364739e-26
161,8.0519935576493e-27
162,5.36799570509953e-27
163,3.57866380339969e-27
164,2.38577586893312e-27
165,1.59051724595542e-27
166,1.06034483063694e-27
167,7.06896553757963e-28
168,4.71264369171975e-28
169,3.1417624611465e-28
170,2.094508307431e-28
171,1.39633887162067e-28
172,9.30892581080444e-29
173,6.2059505405363e-29
174,4.13730036035753e-29
175,2.75820024023835e-29
176,1.8388001601589e-29
177,1.22586677343927e-29
178,8.17244515626179e-30
179,5.44829677084119e-30
180,3.63219784722746e-30
181,2.42146523148497e-30
182,1.61431015432332e-30
183,1.07620676954888e-30
184,7.17471179699251e-31
185,4.78314119799501e-31
186,3.18876079866334e-31
187,2.12584053244223e-31
188,1.41722702162815e-31
189,9.44818014418767e-32
190,6.29878676279178e-32
191,4.19919117519452e-32
192,2.79946078346301e-32
193,1.86630718897534e-32
194,1.24420479265023e-32
195,8.29469861766818e-33
196,5.52979907844546e-33
197,3.68653271896364e-33
198,2.45768847930909e-33
199,1.63845898620606e-33
200,1.09230599080404e-33
201,7.2820399386936e-34
202,4.8546932924624e-34
203,3.23646219497493e-34
204,2.15764146331662e-34
205,1.43842764221108e-34
206,9.58951761474054e-35
207,6.39301174316036e-35
208,4.26200782877357e-35
209,2.84133855251572e-35
210,1.89422570167714e-35
211,1.26281713445143e-35
212,8.41878089634286e-36
213,5.61252059756191e-36
214,3.7416803983746e-36
215,2.4944535989164e-36
216,1.66296906594427e-36
217,1.10864604396285e-36
218,7.39097362641897e-37
219,4.92731575094598e-37
220,3.28487716729732e-37
221,2.18991811153155e-37
222,1.4599454076877e-37
223,9.73296938458465e-38
224,6.48864625638976e-38
225,4.32576417092651e-38
226,2.88384278061767e-38
227,1.92256185374511e-38
228,1.28170790249674e-38
229,8.54471934997829e-39
230,5.69647956665219e-39
231,3.79765304443479e-39
232,2.53176869628986e-39
233,1.68784579752658e-39
234,1.12523053168438e-39
235,7.50153687789589e-40
236,5.00102458526393e-40
237,3.33401639017595e-40
238,2.22267759345063e-40
239,1.48178506230042e-40
240,9.87856708200281e-41
241,6.58571138800188e-41
242,4.39047425866792e-41
243,2.92698283911194e-41
244,1.9513218927413e-41
245,1.30088126182753e-41
246,8.67254174551687e-42
247,5.78169449701125e-42
248,3.8544629980075e-42
249,2.56964199867166e-42
250,1.71309466578111e-42
251,1.14206311052074e-42
252,7.61375407013826e-43
253,5.07583604675884e-43
254,3.38389069783923e-43
255,2.25592713189282e-43
256,1.50395142126188e-43
257,1.00263428084125e-43
258,6.68422853894169e-44
259,4.45615235929446e-44
260,2.97076823952964e-44
261,1.98051215968642e-44
262,1.32034143979095e-44
263,8.802276265273e-45
264,5.86818417684867e-45
265,3.91212278456578e-45
266,2.60808185637718e-45
267,1.73872123758479e-45
268,1.15914749172319e-45
269,7.72764994482129e-46
270,5.15176662988086e-46
271,3.43451108658724e-46
272,2.28967405772482e-46
273,1.52644937181655e-46
274,1.01763291454437e-46
275,6.78421943029578e-47
276,4.52281295353052e-47
277,3.01520863568701e-47
278,2.01013909045801e-47
279,1.340092726972e-47
280,8.9339515131467e-48
281,5.95596767543113e-48
282,3.97064511695409e-48
283,2.64709674463606e-48
284,1.76473116309071e-48
285,1.17648744206047e-48
286,7.84324961373647e-49
287,5.22883307582431e-49
