"census.year","jurisdiction","age.group","total"
2016,"Northwest Territories","90 to 94 years",55
2016,"Northwest Territories","95 to 99 years",20
2016,"Northwest Territories","100 years and over",5
2016,"Nunavut","0 to 4 years",4160
2016,"Nunavut","5 to 9 years",4120
2016,"Nunavut","10 to 14 years",3415
2016,"Nunavut","15 to 19 years",3135
2016,"Nunavut","20 to 24 years",3045
2016,"Nunavut","25 to 29 years",3185
2016,"Nunavut","30 to 34 years",2820
2016,"Nunavut","35 to 39 years",2390
2016,"Nunavut","40 to 44 years",2030
2016,"Nunavut","45 to 49 years",2065
2016,"Nunavut","50 to 54 years",1845
2016,"Nunavut","55 to 59 years",1405
2016,"Nunavut","60 to 64 years",975
2016,"Nunavut","65 to 69 years",655
2016,"Nunavut","70 to 74 years",345
2016,"Nunavut","75 to 79 years",205
2016,"Nunavut","80 to 84 years",100
2016,"Nunavut","85 to 89 years",40
2016,"Nunavut","90 to 94 years",5
2016,"Nunavut","95 to 99 years",5
2016,"Nunavut","100 years and over",0
